"categoria_id,""id"",""nombre"",""imagen_url"""
"1,""1"",""Guitarras eléctricas"",""/uploads/subcategories/guitarra_electrica.jpg"""
"1,""2"",""Guitarras acústicas"",""/uploads/subcategories/guitarra_acustica.jpg"""
"1,""3"",""Bajos"",""/uploads/subcategories/bajo.jpg"""
"1,""4"",""Ukeleles"",""/uploads/subcategories/ukelele.jpg"""
"1,""5"",""Violines"",""/uploads/subcategories/violin.jpg"""
"2,""6"",""Pianos digitales"",""/uploads/subcategories/piano_digital.jpg"""
"2,""7"",""Sintetizadores"",""/uploads/subcategories/sintetizador.jpg"""
"2,""8"",""Órganos"",""/uploads/subcategories/organo.jpg"""
"3,""9"",""Baterías acústicas"",""/uploads/subcategories/bateria_acustica.jpg"""
"3,""10"",""Baterías electrónicas"",""/uploads/subcategories/bateria_electronica.jpg"""
"3,""11"",""Cajones"",""/uploads/subcategories/cajon.jpg"""
"3,""12"",""Congas y bongos"",""/uploads/subcategories/congas_bongos.jpg"""
"3,""13"",""Platos"",""/uploads/subcategories/platos.jpg"""
"4,""14"",""Saxofones"",""/uploads/subcategories/saxofon.jpg"""
"4,""15"",""Clarinetes"",""/uploads/subcategories/clarinete.jpg"""
"4,""16"",""Flautas traveseras"",""/uploads/subcategories/flauta_travesera.jpg"""
"4,""17"",""Oboes"",""/uploads/subcategories/oboe.jpg"""
"5,""18"",""Trompetas"",""/uploads/subcategories/trompeta.jpg"""
"5,""19"",""Trombones"",""/uploads/subcategories/trombon.jpg"""
"5,""20"",""Trompas"",""/uploads/subcategories/trompa.jpg"""
"5,""21"",""Tubas"",""/uploads/subcategories/tuba.jpg"""
