"precio,""stock"",""id"",""subcategoria_id"",""descripcion"",""imagen"",""marca"",""nombre"""
"799.99,""5"",""1"",""1"",""Guitarra eléctrica clásica con sonido brillante."",""/uploads/products/stratocaster.jpg"",""Fender"",""Fender Stratocaster"""
"1299.99,""2"",""2"",""1"",""Guitarra con cuerpo sólido y sustain potente."",""/uploads/products/lespaul.jpg"",""Gibson"",""Gibson Les Paul"""
"429.99,""7"",""3"",""3"",""Bajo cómodo y versátil para directos y estudio."",""/uploads/products/ibanez.jpg"",""Ibanez"",""Ibanez SR300"""
"399.99,""10"",""4"",""6"",""Piano digital 88 teclas con acción de martillo."",""/uploads/products/yamaha.jpg"",""Yamaha"",""Yamaha P-45"""
"649.99,""6"",""5"",""6"",""Piano digital con buen tacto y altavoces potentes."",""/uploads/products/roland.jpg"",""Roland"",""Roland FP-30X"""
"899.99,""4"",""6"",""1"",""Guitarra eléctrica versátil con gran calidad de acabados."",""/uploads/products/prs.jpg"",""PRS"",""PRS SE Custom 24"""
"349.99,""6"",""7"",""1"",""Guitarra eléctrica ideal para rock y metal."",""/uploads/products/jackson.jpg"",""Jackson"",""Jackson Dinky JS32"""
"749.99,""3"",""8"",""3"",""Bajo clásico con sonido potente y definido."",""/uploads/products/precisionbass.jpg"",""Fender"",""Fender Precision Bass"""
"1399.99,""2"",""9"",""3"",""Bajo profesional con gran pegada y presencia."",""/uploads/products/stingray.jpg"",""Ernie Ball"",""Music Man StingRay"""
"499.99,""8"",""10"",""6"",""Piano digital compacto con teclas contrapesadas."",""/uploads/products/casio.jpg"",""Casio"",""Casio Privia PX-160"""
"699.99,""5"",""11"",""6"",""Piano digital con sonido realista y teclado sensible."",""/uploads/products/kawai.jpg"",""Kawai"",""Kawai ES110"""
"999.99,""3"",""12"",""6"",""Piano digital de mueble con sensación acústica."",""/uploads/products/arius.jpg"",""Yamaha"",""Yamaha Arius YDP-144"""
"749.99,""5"",""13"",""1"",""Guitarra eléctrica versátil con el clásico twang de Telecaster."",""/uploads/products/fender_player_telecaster.jpg"",""Fender"",""Fender Player Telecaster"""
"829.99,""4"",""14"",""1"",""Guitarra con sonido cálido y estética vintage alternativa."",""/uploads/products/fender_jazzmaster.jpg"",""Fender"",""Fender Player Jazzmaster"""
"699.99,""6"",""15"",""1"",""Modelo compacto y cómodo ideal para estilos indie y rock."",""/uploads/products/fender_mustang.jpg"",""Fender"",""Fender Mustang Player"""
"1399.99,""3"",""16"",""1"",""Guitarra ligera con potente sustain y acceso cómodo a trastes altos."",""/uploads/products/gibson_sg_standard.jpg"",""Gibson"",""Gibson SG Standard"""
